"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025",65+,male,12,58,1,,4,THB,14.34430365,,6.89655172,14.34430365,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025",45-54,male,64,127,13,,19,THB,1.08693895,,14.96062992,14.13020632,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",45-54,male,152,245,9,,15,THB,1.31687739,,6.12244898,11.8518965,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",45-54,male,74,148,12,,17,THB,0.96259947,,11.48648649,11.55119362,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",65+,male,8,42,2,,2,THB,5.20053739,,4.76190476,10.40107478,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025",65+,male,96,187,15,,23,THB,0.65592129,,12.29946524,9.83881934,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",35-44,unknown,14,50,6,,9,THB,1.63850265,,18,9.83101587,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025",55-64,male,80,194,19,,25,THB,0.47738911,,12.88659794,9.07039305,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025","3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025","3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025",25-34,female,261,301,13,,18,THB,0.66307692,,5.98006645,8.62,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025",35-44,unknown,24,64,13,,14,THB,0.65847115,,21.875,8.56012499,2025-05-01,2025-05-31
